Cases (country and targeted sector),High LCR Rest-rictiveness,Fincial Incentives,Renewable Energy Target,Favourable Market and Investment conditions (C4),High Economic complexity,LCR Policy Effectiveness based (Wind or Solar Export Growth) (Outcome)
,(C1),(C2),(C3),(C4),(C5),
,Fuzzy Set,,,Fuzzy Set,Fuzzy Set,Fuzzy Set
S_Argentina,0.96,1,1,0,0.3,0.24
S_Canada,0,0,0,1,0.76,0.98
S_France,0.96,0,0,1,0.98,1
S_Greece,1,0,1,1,0.36,0
S_India,0.96,1,1,0.36,0.4,0
S_Indonesia,0.07,1,1,0.32,0.11,0.68
S_Italy,0.96,0,1,1,0.96,0.02
S_Jordan,0,1,1,0.02,0.32,1
S_Malaysia,1,1,0,0.64,0.85,0.01
S_Morocco,0,0,1,0.15,0.03,1
S_Russia,0.57,0,1,0.24,0.51,0
S_South Africa,0,1,1,0.85,0.37,0.61
S_Turkey,0.85,0,1,0.05,0.58,1
S_Ukraine,0,1,0,0,0.66,1
W_Argentina,0.96,1,1,0,0.3,0.05
W_Brazil,0.96,1,0,0.97,0.39,0
W_Canada,0,0,0,1,0.76,1
W_China,0.07,0,0,1,0.9,1
W_Croatia,0.96,0,1,0.91,0.84,0.29
W_Jordan,0.02,1,1,0.02,0.32,0
W_Morocco,0,0,1,0.29,0.03,1
W_Russia,0.85,0,1,0.24,0.51,1
W_South Africa,0,1,1,0.17,0.37,0.02
W_Spain,1,0,0,1,0.84,0.99
W_Turkey,0.85,0,1,0.05,0.58,0
W_Ukraine,0,1,0,0,0.66,1
W_Uruguay,0,1,1,1,0.36,1
